District,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge
Dhaka,Kalabagan(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Green Road(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Manik Mia Avenue(Dhaka),1225,Yes,No,65,80,95,0%
Dhaka,Asad Avenue(Dhaka),1207,Yes,No,65,80,95,0%
Dhaka,Jigatola(Dhanmondi),1209,Yes,No,65,80,95,0%
Dhaka,Shankar (West Dhanmondi),1209,Yes,No,65,80,95,0%
Dhaka,Rayer Bazar(Mohammadpur),1209,Yes,No,65,80,95,0%
Dhaka,Tallabag(Dhanmondi),1209,Yes,No,65,80,95,0%
Dhaka,Hazaribag(Dhaka),1209,Yes,No,65,80,95,0%
Dhaka,Pilkhana(Dhaka),1209,Yes,No,65,80,95,0%
Dhaka,Kellar Mor(Lalbagh-Dhaka),1320,Yes,No,65,80,95,0%
Dhaka,New Market(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Azimpur(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Nilkhet(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Lalbagh(Dhaka),1211,Yes,No,65,80,95,0%
Dhaka,Chawkbazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Naya Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Tatibazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Luxmi Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Tipu Sultan Road(Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Siddique Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Tikatuly (Dhaka),1203,Yes,No,65,80,95,0%
Dhaka,Motijheel(Dhaka),1223,Yes,No,65,80,95,0%
Dhaka,Nawabpur (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Kaptan Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Gulistan(Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Bongo Bazar(Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Chankarpul(Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Palashi(Dhaka),1211,Yes,No,65,80,95,0%
Dhaka,Dhakeshwari(Dhaka),1211,Yes,No,65,80,95,0%
Dhaka,Kamalapur(Dhaka),1222,Yes,No,65,80,95,0%
Dhaka,Wari (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Narinda (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Dainik Bangla Mor(Paltan),1000,Yes,No,65,80,95,0%
Dhaka,Fakirapul (Dhaka),1000,Yes,No,65,80,95,0%
Dhaka,Kakrail (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Naya Paltan (Dhaka),1000,Yes,No,65,80,95,0%
Dhaka,Bijoynagar (Paltan),1000,Yes,No,65,80,95,0%
Dhaka,Press Club (Dhaka),1000,Yes,No,65,80,95,0%
Dhaka,High Court (Dhaka),1000,Yes,No,65,80,95,0%
Dhaka,Dhaka University,1205,Yes,No,65,80,95,0%
Dhaka,Dhaka Medical College,1100,Yes,No,65,80,95,0%
Dhaka,Bongo Bondhu Avenue (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Kazi Nazrul Islam Avenue(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Kawran Bazar(Dhaka),1215,Yes,No,65,80,95,0%
Dhaka,Minto Road (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Shantinagar (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Shantibag (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Baily Road (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Minto Road(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,BSMMU Hospital-Shahbag(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Eskaton Garden Road(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Eskaton(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Moghbazar(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Mouchak (Malibagh),1217,Yes,No,65,80,95,0%
Dhaka,Malibagh (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Rampura(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Shahbag(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Katabon(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Hatirpool(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Bashabo(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Khilgaon(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Middle Bashabo(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Goran(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Madartek(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Manik Nagar (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Shahjahanpur(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Banasree(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Meradia(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Boroitola Bazar (Natun Bazar),,Yes,No,65,80,95,0%
Narayanganj,Bhulta (Rupganj),,Yes,No,65,80,95,0%
Dhaka,Mugda (Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Golapbag (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Jatrabari(Dhaka),1236,Yes,No,65,80,95,0%
Dhaka,Hatirjheel Thana (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Bangla Motor(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Paribag(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Bakshibazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Elephant Road(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Kathalbagan(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Malibagh Taltola(Dhaka),1219,Yes,No,65,80,95,0%
Dhaka,Central Road(Dhanmodi),1205,Yes,No,65,80,95,0%
Dhaka,Sabujbag Thana(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Habibullah Bahar University(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Dolaikhal (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Shegunbagicha (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Rajarbag police lines(Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Babubazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Islampur(Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Imamgonj (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Nayabazar  (Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Zigatola(Dhanmodi),1209,Yes,No,65,80,95,0%
Dhaka,West Kazipara(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,West Shewrapara(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Kalshi(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Sutrapur (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Kamrangichar(Dhaka),1211,Yes,No,65,80,95,0%
Dhaka,Purana Paltan (Dhaka),1000,Yes,No,65,80,95,0%
Dhaka,Shyampur(Jatrabari),1204,Yes,No,65,80,95,0%
Dhaka,Dholaipar(Puran Dhaka),1236,Yes,No,65,80,95,0%
Dhaka,Monipuri Para(Farmgate),1215,Yes,No,65,80,95,0%
Dhaka,Bosila Bridge(Dhaka),1207,Yes,No,65,80,95,0%
Dhaka,Shonir Akhra(Dhaka),1362,Yes,No,65,80,95,0%
Dhaka,Mirpur 2 (Dhaka ),1216,Yes,No,65,80,95,0%
Dhaka,Bongshal (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Siddweswari (Dhaka),1217,Yes,No,65,80,95,0%
Dhaka,Nakhalpara (Tejgoan),1208,Yes,No,65,80,95,0%
Dhaka,Sector 18 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Joar Shahara (Kuril),1229,Yes,No,65,80,95,0%
Dhaka,Science Lab(Dhaka),1205,Yes,No,65,80,95,0%
Dhaka,Sobhanbag(Dhanmondi),1215,Yes,No,65,80,95,0%
Dhaka,ECB Chattar(Mirpur),1216,Yes,No,65,80,95,0%
Dhaka,Arambag (Motijheel),1223,Yes,No,65,80,95,0%
Dhaka,Armanitola (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Islambag (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Kamarpara(Uttara),1230,Yes,No,65,80,95,0%
Dhaka,Mitford (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Shakhari Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Katherpol (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Bangla Bazar  (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Patuatuly (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Nandipara(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Nazira Bazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Gopibag Motijheel(Dhaka),1203,Yes,No,65,80,95,0%
Dhaka,Shwamibag(Dhaka),1203,Yes,No,65,80,95,0%
Dhaka,Sayedabad(Dhaka),1203,Yes,No,65,80,95,0%
Dhaka,Sadarghat Dhaka,1100,Yes,No,65,80,95,0%
Dhaka,Kaltabazar (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,Jurain(Dhaka),1204,Yes,No,65,80,95,0%
Dhaka,Gendaria (Puran Dhaka),1100,Yes,No,65,80,95,0%
Dhaka,RayerBag(Dhaka),1204,Yes,No,65,80,95,0%
Dhaka,Faridabad (Jatrabari),1204,Yes,No,65,80,95,0%
Dhaka,Matuail (Jatrabari),1361,Yes,No,65,80,95,0%
Dhaka,Doniya (Dhaka),1236,Yes,No,65,80,95,0%
Dhaka,Postogola (Jurain-Dhaka),1204,Yes,No,65,80,95,0%
Dhaka,Konapara (Demra),1361,Yes,No,65,80,95,0%
Dhaka,Dhaka Uddyan(Mohammadpur),1207,Yes,No,65,80,95,0%
Dhaka,Shekhertek(Mohammadpur),1207,Yes,No,65,80,95,0%
Dhaka,CWH,5999,Yes,No,65,80,95,0%
Dhaka,Taltola-Agargaon(Dhaka),1216,Yes,No,65,80,95,0%
Dhaka,Manda(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Zoo Road(Dhaka),1343,Yes,No,65,80,95,0%
Dhaka,Shahjahanpur(Dhaka),1214,Yes,No,65,80,95,0%
Dhaka,Haterrjheel(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Dhaka uddan(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Nobodoy(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Chad Uddan(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Mohammadia Housing(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Ring Road(Shymoli),,Yes,No,65,80,95,0%
Dhaka,Tajmahal Road(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Nurjahan Road(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Rajia Sultana Road(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Sector 4 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Adam Ali Market(Mazar Road-Mirpur),,Yes,No,65,80,95,0%
Dhaka,Chalabon(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Mollapara(Dakhinkhan ),,Yes,No,65,80,95,0%
Dhaka,East Azampur (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 5 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 14 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 3 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 7 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 9 (Uttara),,Yes,No,65,80,95,0%
Dhaka,Sector 11(Uttara),,Yes,No,65,80,95,0%
Dhaka,Nalbhog(Uttara),,Yes,No,65,80,95,0%
Dhaka,Middle Azampur (Uttara),,Yes,No,65,80,95,0%
Dhaka,Turag Model School (Uttara),,Yes,No,65,80,95,0%
Dhaka,Dhour (Uttara ),,Yes,No,65,80,95,0%
Dhaka,Bhatuliya(Uttara),,Yes,No,65,80,95,0%
Dhaka,Bamnartek(Uttara),,Yes,No,65,80,95,0%
Dhaka,Turag Thana(Uttara),,Yes,No,65,80,95,0%
Dhaka,Khalek Filling Station Road(Kallyanpur),,Yes,No,65,80,95,0%
Dhaka,Lalkuthi (Mazar road-Mirpur),,Yes,No,65,80,95,0%
Dhaka,Mirpur-1-block-A(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Tolarbag(Mirpur),,Yes,No,65,80,95,0%
Dhaka,Ahmed Nagar-Paikpara(Mirpur-1),,Yes,No,65,80,95,0%
Dhaka,Paikpara (Mirpur-1),,Yes,No,65,80,95,0%
Dhaka,Pirerbag-60-feet(Mirpur),,Yes,No,65,80,95,0%
Dhaka,Mirpur-1-block-B (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Dewanpara -vasantek(Mirpur),,Yes,No,65,80,95,0%
Dhaka,Begunbari(Tejgaon),,Yes,No,65,80,95,0%
Dhaka,Ajiz Market-ECB Chattar(Mirpur),,Yes,No,65,80,95,0%
Dhaka,Aga Nagar(Keraniganj),,Yes,No,65,80,95,0%
Dhaka,Kunipara (Tejgoan),,Yes,No,65,80,95,0%
Dhaka,Babli Masjid (Tejgoan),,Yes,No,65,80,95,0%
Dhaka,Kaderabad Housing(Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Kunia-Tar gach(Tongi),,Yes,No,65,80,95,0%
Dhaka,Gacha Bazar ( Boro Bari),,Yes,No,65,80,95,0%
Dhaka,Boro Bari (Tongi),,Yes,No,65,80,95,0%
Dhaka,Board Bazar (Tongi),,Yes,No,65,80,95,0%
Dhaka,Kamarjuri (Gazipur),,Yes,No,65,80,95,0%
Dhaka,Saifuddin Sarkar Academy Road (Tongi collage Gate),,Yes,No,65,80,95,0%
Dhaka,Ershadnagar-Hossain Market(Tongi),,Yes,No,65,80,95,0%
Dhaka,Sataish-Gazipura(Tongi),,Yes,No,65,80,95,0%
Dhaka,Apollo Hospital (Bashundhara R/A),,Yes,No,65,80,95,0%
Dhaka,Nurerchala(Natun Bazar),,Yes,No,65,80,95,0%
Dhaka,Bawaila Para(Khilkhet),,Yes,No,65,80,95,0%
Dhaka,Satarkul (Uttor Badda),,Yes,No,65,80,95,0%
Dhaka,100 Feet Road (Natun Bazar),,Yes,No,65,80,95,0%
Dhaka,Buddho Mondir(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Sipahibag(Dhaka),,Yes,No,65,80,95,0%
Dhaka,TT Para (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Eastern Housing (Mohammadpur),,Yes,No,65,80,95,0%
Dhaka,Teskunipara(Farmgate),,Yes,No,65,80,95,0%
Dhaka,Tenari More (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Shahidnagar (Lalbagh- Dhaka),,Yes,No,65,80,95,0%
Dhaka,Jhigatola(Dhanmondi),,Yes,No,65,80,95,0%
Dhaka,Polashi(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Satmoshjid Road(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Shukrabad(Dhanmondi),,Yes,No,65,80,95,0%
Dhaka,BNP Bazar(Agargaon),,Yes,No,65,80,95,0%
Dhaka,Kalachandpur(Nadda),,Yes,No,65,80,95,0%
Dhaka,Nadda,Jogonnathpur,,Yes,No,65,80,95,0%
Dhaka,Kuratoli Bazar(Kuril),,Yes,No,65,80,95,0%
Dhaka,Alatunnessa School Road (South Badda),,Yes,No,65,80,95,0%
Dhaka,Purbo Rampura(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Bou Bazar Korail (Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Chairman Bari (Banani),,Yes,No,65,80,95,0%
Dhaka,Confidence Tower (Shahajadpur),,Yes,No,65,80,95,0%
Dhaka,Dhelna (Khilkhet),,Yes,No,65,80,95,0%
Dhaka,Madani Avenue(100 Feet Road Natun Bazar),,Yes,No,65,80,95,0%
Dhaka,Korail (Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Mahanogor(Dhaka),,Yes,No,65,80,95,0%
Dhaka,Nimtola (Merul Badda),,Yes,No,65,80,95,0%
Dhaka,Boat Ghat Road (Natun Bazar),,Yes,No,65,80,95,0%
Dhaka,Pastola Bazar (Merul Badda),,Yes,No,65,80,95,0%
Dhaka,Poschim Badda,,Yes,No,65,80,95,0%
Dhaka,Purbo Badda,,Yes,No,65,80,95,0%
Dhaka,Sat-tola Bazar (Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Shaheenbagh (Tejgoan),,Yes,No,65,80,95,0%
Dhaka,Suvastu Nazar Valley (Shahjadpur),,Yes,No,65,80,95,0%
Dhaka,ICDDRB (Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Satrasta (Tejgoan),,Yes,No,65,80,95,0%
Dhaka,Shadinota Sharani (Uttor Badda),,Yes,No,65,80,95,0%
Dhaka,North Badda,,Yes,No,65,80,95,0%
Dhaka,Wireless gate (Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Solmaid(Natun Bazar),,Yes,No,65,80,95,0%
Dhaka,Pink City Model Town (Kuril ),,Yes,No,65,80,95,0%
Dhaka,Mirhazirbagh(Jatrabari),,Yes,No,65,80,95,0%
Dhaka,Mahut Tuli (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Alubazar (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Badam Toli (Babubazar),,Yes,No,65,80,95,0%
Dhaka,Chamelibag (Dhaka),,Yes,No,65,80,95,0%
Dhaka,Dholaikhal (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Doyagonj (Jatrabari),,Yes,No,65,80,95,0%
Dhaka,Farashgong (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Dholpur(Jatrabari),,Yes,No,65,80,95,0%
Dhaka,Kodomtoli(Keraniganj),,Yes,No,65,80,95,0%
Dhaka,Kotwali Thana (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Railway Colony (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Rajar Dewri (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Sat rowja (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Tantibazar (Puran Dhaka),,Yes,No,65,80,95,0%
Dhaka,Rosulbagh(Mohakhali),,Yes,No,65,80,95,0%
Dhaka,Gopalpur (Tongi Station Road),,Yes,No,65,80,95,0%
Dhaka,Tongi College Gate,,Yes,No,65,80,95,0%
Dhaka,Badekomelosshor (Board Bazar),,Yes,No,65,80,95,0%
Dhaka,Megh Dubi Tongi ( Mirer Bazar),,Yes,No,65,80,95,0%
Dhaka,Mazar Road Uttarkhan,,Yes,No,65,80,95,0%
Dhaka,Sonakhola (Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Hajipara(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Ranavola(Uttara),,Yes,No,65,80,95,0%
Dhaka,Joynal Market(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Haji Camp(Askona),,Yes,No,65,80,95,0%
Dhaka,Sarwar Avenue(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,BDR Market-House Building(Uttara),,Yes,No,65,80,95,0%
Dhaka,BDR Market-Sector 6(Uttara),,Yes,No,65,80,95,0%
Dhaka,Moinartek(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Atipara(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Kotbari (Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Dewan City(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Mollartek(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Gawair(Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Kosaibari (Dakshinkhan),,Yes,No,65,80,95,0%
Dhaka,Prembagan(Dakshinkhan),,Yes,No,65,80,95,0%
